 MYSTICAL1_CHR_EyesofGold:0 "Eyes of Gold"
 MYSTICAL1_CHR_TroublefromFoundations:0 "Trouble from Foundations"
 MYSTICAL1_CHR_GraceofGold:0 "Grace of Gold"
 MYSTICAL1_CHR_GraceoftheDawn:0 "Grace of the Dawn"
 MYSTICAL1_CHR_GraceofSilver:0 "Grace of Silver"
 MYSTICAL1_CHR_GraceofKings:0 "Grace of Kings"
 MYSTICAL1_CHR_GraceinSilver:0 "Grace in Silver"
 MYSTICAL1_CHR_GraceinthosewhoSeek:0 "Grace in those who Seek"
 MYSTICAL1_CHR_GracewiththeFound:0 "Grace with the Found"
 MYSTICAL1_CHR_GraceaboveKings:0 "Grace above Kings"
 MYSTICAL1_CHR_GracebeforeKings:0 "Grace before Kings"
 MYSTICAL1_CHR_GracebeforeStone:0 "Grace before Stone"
 MYSTICAL1_CHR_GracebeforethosewhoSeek:0 "Grace before those who Seek"
 MYSTICAL1_CHR_LookswithFoundations:0 "Looks with Foundations"
 MYSTICAL1_CHR_LookswithKings:0 "Looks with Kings"
 MYSTICAL1_CHR_LookswiththePrepared:0 "Looks with the Prepared"
 MYSTICAL1_CHR_LooksafterallwhoFind:0 "Looks after all who Find"
 MYSTICAL1_CHR_LooksbyGold:0 "Looks by Gold"
 MYSTICAL1_CHR_LooksbyFoundations:0 "Looks by Foundations"
 MYSTICAL1_CHR_LooksbyBeginning:0 "Looks by Beginning"
 MYSTICAL1_CHR_LooksbyStone:0 "Looks by Stone"
 MYSTICAL1_CHR_ThinkswiththeDawn:0 "Thinks with the Dawn"
 MYSTICAL1_CHR_ThinkswithGems:0 "Thinks with Gems"
 MYSTICAL1_CHR_ThinkswiththeFlame:0 "Thinks with the Flame"
 MYSTICAL1_CHR_ThinksafterQueens:0 "Thinks after Queens"
 MYSTICAL1_CHR_ThinksaftertheFound:0 "Thinks after the Found"
 MYSTICAL1_CHR_ThinksafterthosewhoSeek:0 "Thinks after those who Seek"
 MYSTICAL1_CHR_StrikestotheDawn:0 "Strikes to the Dawn"
 MYSTICAL1_CHR_StrikestothosewhoSeek:0 "Strikes to those who Seek"
 MYSTICAL1_CHR_StrikesthroughGold:0 "Strikes through Gold"
 MYSTICAL1_CHR_StrikesthroughStone:0 "Strikes through Stone"
 MYSTICAL1_CHR_StrikeswithStone:0 "Strikes with Stone"
 MYSTICAL1_CHR_StrikeswithGems:0 "Strikes with Gems"
 MYSTICAL1_CHR_StrikesafterGold:0 "Strikes after Gold"
 MYSTICAL1_CHR_StrikesafterGems:0 "Strikes after Gems"
 MYSTICAL1_CHR_StrikesbyallwhoFind:0 "Strikes by all who Find"
 MYSTICAL1_CHR_HidestoKings:0 "Hides to Kings"
 MYSTICAL1_CHR_HideswithBeginning:0 "Hides with Beginning"
 MYSTICAL1_CHR_HideswiththeFound:0 "Hides with the Found"
 MYSTICAL1_CHR_HidesaftertheEnd:0 "Hides after the End"
 MYSTICAL1_CHR_HidesafterallwhoFind:0 "Hides after all who Find"
 MYSTICAL1_CHR_HidesbytheDawn:0 "Hides by the Dawn"
 MYSTICAL1_CHR_HidesbytheEnd:0 "Hides by the End"
 MYSTICAL1_CHR_HidesbySilver:0 "Hides by Silver"
 MYSTICAL1_CHR_SwimsthroughKings:0 "Swims through Kings"
 MYSTICAL1_CHR_SwimsaftertheFound:0 "Swims after the Found"
 MYSTICAL1_CHR_SwimsafterthePrepared:0 "Swims after the Prepared"
 MYSTICAL1_CHR_SwimsbyallwhoFind:0 "Swims by all who Find"
 MYSTICAL1_CHR_MovestoDarkness:0 "Moves to Darkness"
 MYSTICAL1_CHR_MovestotheEnd:0 "Moves to the End"
 MYSTICAL1_CHR_MovestotheFound:0 "Moves to the Found"
 MYSTICAL1_CHR_MovestoallwhoFind:0 "Moves to all who Find"
 MYSTICAL1_CHR_MovesthroughSilver:0 "Moves through Silver"
 MYSTICAL1_CHR_MovesthroughQueens:0 "Moves through Queens"
 MYSTICAL1_CHR_MoveswiththeEnd:0 "Moves with the End"
 MYSTICAL1_CHR_MoveswiththeFound:0 "Moves with the Found"
 MYSTICAL1_CHR_MoveswithStone:0 "Moves with Stone"
 MYSTICAL1_CHR_MovesafterBeginning:0 "Moves after Beginning"
 MYSTICAL1_CHR_MovesafterQueens:0 "Moves after Queens"
 MYSTICAL1_CHR_MovesafterGems:0 "Moves after Gems"
 MYSTICAL1_CHR_MovesafterthosewhoSeek:0 "Moves after those who Seek"
 MYSTICAL1_CHR_MovesbytheDawn:0 "Moves by the Dawn"
 MYSTICAL1_CHR_MovesbytheEnd:0 "Moves by the End"
 MYSTICAL1_CHR_MovesbyStone:0 "Moves by Stone"
 MYSTICAL1_CHR_ShimmerstotheDawn:0 "Shimmers to the Dawn"
 MYSTICAL1_CHR_ShimmerstoQueens:0 "Shimmers to Queens"
 MYSTICAL1_CHR_ShimmerstothosewhoSeek:0 "Shimmers to those who Seek"
 MYSTICAL1_CHR_ShimmerswithDarkness:0 "Shimmers with Darkness"
 MYSTICAL1_CHR_ShimmerswithGems:0 "Shimmers with Gems"
 MYSTICAL1_CHR_ShimmersbySilver:0 "Shimmers by Silver"
 MYSTICAL1_CHR_SmellstoGems:0 "Smells to Gems"
 MYSTICAL1_CHR_SmellstothePrepared:0 "Smells to the Prepared"
 MYSTICAL1_CHR_SmellstothosewhoSeek:0 "Smells to those who Seek"
 MYSTICAL1_CHR_SmellsthroughtheDawn:0 "Smells through the Dawn"
 MYSTICAL1_CHR_SmellsthroughQueens:0 "Smells through Queens"
 MYSTICAL1_CHR_SmellsthroughtheFound:0 "Smells through the Found"
 MYSTICAL1_CHR_SmellswithDarkness:0 "Smells with Darkness"
 MYSTICAL1_CHR_SmellswiththeEnd:0 "Smells with the End"
 MYSTICAL1_CHR_SmellsafterBeginning:0 "Smells after Beginning"
 MYSTICAL1_CHR_SmellsafterSilver:0 "Smells after Silver"
 MYSTICAL1_CHR_SmellsafterStone:0 "Smells after Stone"
 MYSTICAL1_CHR_SmellsafterthePrepared:0 "Smells after the Prepared"
 MYSTICAL1_CHR_FetchestoStone:0 "Fetches to Stone"
 MYSTICAL1_CHR_FetchestothePrepared:0 "Fetches to the Prepared"
 MYSTICAL1_CHR_FetchesthroughtheEnd:0 "Fetches through the End"
 MYSTICAL1_CHR_FetcheswithGold:0 "Fetches with Gold"
 MYSTICAL1_CHR_FetcheswithKings:0 "Fetches with Kings"
 MYSTICAL1_CHR_FetcheswiththeFound:0 "Fetches with the Found"
 MYSTICAL1_CHR_FetcheswithStone:0 "Fetches with Stone"
 MYSTICAL1_CHR_FetcheswiththePrepared:0 "Fetches with the Prepared"
 MYSTICAL1_CHR_FetchesafterthePrepared:0 "Fetches after the Prepared"
 MYSTICAL1_CHR_FetchesaftertheFlame:0 "Fetches after the Flame"
 MYSTICAL1_CHR_FetchesbySilver:0 "Fetches by Silver"
 MYSTICAL1_CHR_FetchesbyKings:0 "Fetches by Kings"
 MYSTICAL1_CHR_HastothosewhoSeek:0 "Has to those who Seek"
 MYSTICAL1_CHR_HastotheFlame:0 "Has to the Flame"
 MYSTICAL1_CHR_HaswithGold:0 "Has with Gold"
 MYSTICAL1_CHR_HaswiththeEnd:0 "Has with the End"
 MYSTICAL1_CHR_HaswithSilver:0 "Has with Silver"
 MYSTICAL1_CHR_HaswithKings:0 "Has with Kings"
 MYSTICAL1_CHR_HaswiththePrepared:0 "Has with the Prepared"
 MYSTICAL1_CHR_HasaftertheFlame:0 "Has after the Flame"
 MYSTICAL1_CHR_HasbytheDawn:0 "Has by the Dawn"
 MYSTICAL1_CHR_HasbythosewhoSeek:0 "Has by those who Seek"
 MYSTICAL1_CHR_HasbytheFlame:0 "Has by the Flame"
 MYSTICAL1_CHR_FearstoGold:0 "Fears to Gold"
 MYSTICAL1_CHR_FearstoGems:0 "Fears to Gems"
 MYSTICAL1_CHR_FearsafterDarkness:0 "Fears after Darkness"
 MYSTICAL1_CHR_FearsafterGems:0 "Fears after Gems"
 MYSTICAL1_CHR_FearsafterallwhoFind:0 "Fears after all who Find"
 MYSTICAL1_CHR_FearsbyGold:0 "Fears by Gold"
 MYSTICAL1_CHR_FearsbythePrepared:0 "Fears by the Prepared"
 MYSTICAL1_CHR_BringstoGold:0 "Brings to Gold"
 MYSTICAL1_CHR_BringstoDarkness:0 "Brings to Darkness"
 MYSTICAL1_CHR_BringstothosewhoSeek:0 "Brings to those who Seek"
 MYSTICAL1_CHR_BringstoallwhoFind:0 "Brings to all who Find"
 MYSTICAL1_CHR_BringsthroughtheFound:0 "Brings through the Found"
 MYSTICAL1_CHR_BringsafterGold:0 "Brings after Gold"
 MYSTICAL1_CHR_BringsaftertheFound:0 "Brings after the Found"
 MYSTICAL1_CHR_HoldstoStone:0 "Holds to Stone"
 MYSTICAL1_CHR_HoldsthroughStone:0 "Holds through Stone"
 MYSTICAL1_CHR_HoldswithallwhoFind:0 "Holds with all who Find"
 MYSTICAL1_CHR_HoldsaftertheDawn:0 "Holds after the Dawn"
 MYSTICAL1_CHR_HoldsafterFoundations:0 "Holds after Foundations"
 MYSTICAL1_CHR_HoldsbyDarkness:0 "Holds by Darkness"
 MYSTICAL1_CHR_HoldsbySilver:0 "Holds by Silver"
 MYSTICAL1_CHR_SummonstoDarkness:0 "Summons to Darkness"
 MYSTICAL1_CHR_SummonswithDarkness:0 "Summons with Darkness"
 MYSTICAL1_CHR_SummonsaftertheDawn:0 "Summons after the Dawn"
 MYSTICAL1_CHR_SummonsbyGold:0 "Summons by Gold"
 MYSTICAL1_CHR_SummonsbytheFound:0 "Summons by the Found"
 MYSTICAL1_CHR_FightsthroughtheDawn:0 "Fights through the Dawn"
 MYSTICAL1_CHR_FightsthroughDarkness:0 "Fights through Darkness"
 MYSTICAL1_CHR_FightsthroughthePrepared:0 "Fights through the Prepared"
 MYSTICAL1_CHR_FightsthroughthosewhoSeek:0 "Fights through those who Seek"
 MYSTICAL1_CHR_FightswithallwhoFind:0 "Fights with all who Find"
 MYSTICAL1_CHR_FightsaftertheDawn:0 "Fights after the Dawn"
 MYSTICAL1_CHR_FightsafterSilver:0 "Fights after Silver"
 MYSTICAL1_CHR_FightsaftertheFlame:0 "Fights after the Flame"
 MYSTICAL1_CHR_FightsbySilver:0 "Fights by Silver"
 MYSTICAL1_CHR_FightsbythePrepared:0 "Fights by the Prepared"
 MYSTICAL1_CHR_FightsbytheFlame:0 "Fights by the Flame"
 MYSTICAL1_CHR_DefendsthroughGold:0 "Defends through Gold"
 MYSTICAL1_CHR_DefendswithDarkness:0 "Defends with Darkness"
 MYSTICAL1_CHR_DefendswithSilver:0 "Defends with Silver"
 MYSTICAL1_CHR_DefendswithQueens:0 "Defends with Queens"
 MYSTICAL1_CHR_DefendsafterKings:0 "Defends after Kings"
 MYSTICAL1_CHR_DefendsafterGems:0 "Defends after Gems"
 MYSTICAL1_CHR_DefendsbyFoundations:0 "Defends by Foundations"
 MYSTICAL1_CHR_DrifttoQueens:0 "Drift to Queens"
 MYSTICAL1_CHR_DrifttotheFlame:0 "Drift to the Flame"
 MYSTICAL1_CHR_DriftthroughStone:0 "Drift through Stone"
 MYSTICAL1_CHR_DriftwithKings:0 "Drift with Kings"
 MYSTICAL1_CHR_DriftafterSilver:0 "Drift after Silver"
 MYSTICAL1_CHR_DriftafterQueens:0 "Drift after Queens"
 MYSTICAL1_CHR_DriftafterGems:0 "Drift after Gems"
 MYSTICAL1_CHR_DriftaftertheFlame:0 "Drift after the Flame"
 MYSTICAL1_CHR_LaughstotheDawn:0 "Laughs to the Dawn"
 MYSTICAL1_CHR_LaughstoSilver:0 "Laughs to Silver"
 MYSTICAL1_CHR_LaughstoKings:0 "Laughs to Kings"
 MYSTICAL1_CHR_LaughstotheFlame:0 "Laughs to the Flame"
 MYSTICAL1_CHR_LaughsthroughBeginning:0 "Laughs through Beginning"
 MYSTICAL1_CHR_LaughsthroughSilver:0 "Laughs through Silver"
 MYSTICAL1_CHR_LaughsthroughtheFound:0 "Laughs through the Found"
 MYSTICAL1_CHR_LaughswithGold:0 "Laughs with Gold"
 MYSTICAL1_CHR_LaughsaftertheDawn:0 "Laughs after the Dawn"
 MYSTICAL1_CHR_PursuestotheEnd:0 "Pursues to the End"
 MYSTICAL1_CHR_PursuestoFoundations:0 "Pursues to Foundations"
 MYSTICAL1_CHR_PursuesthroughDarkness:0 "Pursues through Darkness"
 MYSTICAL1_CHR_PursueswithStone:0 "Pursues with Stone"
 MYSTICAL1_CHR_PursueswithallwhoFind:0 "Pursues with all who Find"
 MYSTICAL1_CHR_PursuesafterBeginning:0 "Pursues after Beginning"
 MYSTICAL1_CHR_PursuesafterSilver:0 "Pursues after Silver"
 MYSTICAL1_CHR_PursuesafterQueens:0 "Pursues after Queens"
 MYSTICAL1_CHR_PursuesbyGold:0 "Pursues by Gold"
 MYSTICAL1_CHR_PursuesbyGems:0 "Pursues by Gems"
 MYSTICAL1_CHR_SmoothasStone:0 "Smooth as Stone"
 MYSTICAL1_CHR_SmoothlikeGems:0 "Smooth like Gems"
 MYSTICAL1_CHR_SmoothlikethosewhoSeek:0 "Smooth like those who Seek"
 MYSTICAL1_CHR_SmoothbesideGold:0 "Smooth beside Gold"
 MYSTICAL1_CHR_SmoothbesidethosewhoSeek:0 "Smooth beside those who Seek"
 MYSTICAL1_CHR_SmoothtowardtheFlame:0 "Smooth toward the Flame"
 MYSTICAL1_CHR_SmoothwithoutGems:0 "Smooth without Gems"
 MYSTICAL1_CHR_RoughasthePrepared:0 "Rough as the Prepared"
 MYSTICAL1_CHR_RoughasallwhoFind:0 "Rough as all who Find"
 MYSTICAL1_CHR_RoughbesideFoundations:0 "Rough beside Foundations"
 MYSTICAL1_CHR_RoughbesideQueens:0 "Rough beside Queens"
 MYSTICAL1_CHR_RoughbesidetheFound:0 "Rough beside the Found"
 MYSTICAL1_CHR_RoughbesideallwhoFind:0 "Rough beside all who Find"
 MYSTICAL1_CHR_RoughbesidetheFlame:0 "Rough beside the Flame"
 MYSTICAL1_CHR_RoughtowardtheEnd:0 "Rough toward the End"
 MYSTICAL1_CHR_RoughwithoutGold:0 "Rough without Gold"
 MYSTICAL1_CHR_KindasKings:0 "Kind as Kings"
 MYSTICAL1_CHR_KindastheFlame:0 "Kind as the Flame"
 MYSTICAL1_CHR_KindliketheDawn:0 "Kind like the Dawn"
 MYSTICAL1_CHR_KindlikeQueens:0 "Kind like Queens"
 MYSTICAL1_CHR_KindbesidetheEnd:0 "Kind beside the End"
 MYSTICAL1_CHR_KindwithouttheFlame:0 "Kind without the Flame"
 MYSTICAL1_CHR_HumbleasFoundations:0 "Humble as Foundations"
 MYSTICAL1_CHR_HumbleastheFound:0 "Humble as the Found"
 MYSTICAL1_CHR_HumbletowardGems:0 "Humble toward Gems"
 MYSTICAL1_CHR_HumbletowardtheFlame:0 "Humble toward the Flame"
 MYSTICAL1_CHR_HumblewithoutSilver:0 "Humble without Silver"
 MYSTICAL1_CHR_GracefulasthosewhoSeek:0 "Graceful as those who Seek"
 MYSTICAL1_CHR_GracefultowardGold:0 "Graceful toward Gold"
 MYSTICAL1_CHR_GracefultowardFoundations:0 "Graceful toward Foundations"
 MYSTICAL1_CHR_GracefultowardQueens:0 "Graceful toward Queens"
 MYSTICAL1_CHR_GracefultowardGems:0 "Graceful toward Gems"
 MYSTICAL1_CHR_GracefulwithoutFoundations:0 "Graceful without Foundations"
 MYSTICAL1_CHR_PersistantastheEnd:0 "Persistant as the End"
 MYSTICAL1_CHR_PersistantasBeginning:0 "Persistant as Beginning"
 MYSTICAL1_CHR_PersistantasQueens:0 "Persistant as Queens"
 MYSTICAL1_CHR_PersistantastheFlame:0 "Persistant as the Flame"
 MYSTICAL1_CHR_PersistanttowardtheDawn:0 "Persistant toward the Dawn"
 MYSTICAL1_CHR_PersistantwithoutallwhoFind:0 "Persistant without all who Find"
 MYSTICAL1_CHR_LostliketheFound:0 "Lost like the Found"
 MYSTICAL1_CHR_LostlikethePrepared:0 "Lost like the Prepared"
 MYSTICAL1_CHR_LosttowardQueens:0 "Lost toward Queens"
