 MYSTICAL1_SHIP_LordOFCopper:0 "Lord of Copper"
 MYSTICAL1_SHIP_CountOFPewter:0 "Count of Pewter"
 MYSTICAL1_SHIP_CountOFIron:0 "Count of Iron"
 MYSTICAL1_SHIP_CountOFNickel:0 "Count of Nickel"
 MYSTICAL1_SHIP_CountOFTungsten:0 "Count of Tungsten"
 MYSTICAL1_SHIP_CountOFZinc:0 "Count of Zinc"
 MYSTICAL1_SHIP_CountOFTitanium:0 "Count of Titanium"
 MYSTICAL1_SHIP_CountOFCobalt:0 "Count of Cobalt"
 MYSTICAL1_SHIP_CountOFSilver:0 "Count of Silver"
 MYSTICAL1_SHIP_CountOFPlatinum:0 "Count of Platinum"
 MYSTICAL1_SHIP_CountOFGold:0 "Count of Gold"
 MYSTICAL1_SHIP_CountOFTin:0 "Count of Tin"
 MYSTICAL1_SHIP_CountOFLead:0 "Count of Lead"
 MYSTICAL1_SHIP_CountOFAluminum:0 "Count of Aluminum"
 MYSTICAL1_SHIP_CountessOFCopper:0 "Countess of Copper"
 MYSTICAL1_SHIP_CountessOFPewter:0 "Countess of Pewter"
 MYSTICAL1_SHIP_CountessOFIron:0 "Countess of Iron"
 MYSTICAL1_SHIP_CountessOFNickel:0 "Countess of Nickel"
 MYSTICAL1_SHIP_CountessOFTungsten:0 "Countess of Tungsten"
 MYSTICAL1_SHIP_CountessOFZinc:0 "Countess of Zinc"
 MYSTICAL1_SHIP_CountessOFTitanium:0 "Countess of Titanium"
 MYSTICAL1_SHIP_CountessOFCobalt:0 "Countess of Cobalt"
 MYSTICAL1_SHIP_CountessOFSilver:0 "Countess of Silver"
 MYSTICAL1_SHIP_CountessOFPlatinum:0 "Countess of Platinum"
 MYSTICAL1_SHIP_CountessOFGold:0 "Countess of Gold"
 MYSTICAL1_SHIP_CountessOFTin:0 "Countess of Tin"
 MYSTICAL1_SHIP_CountessOFLead:0 "Countess of Lead"
 MYSTICAL1_SHIP_CountessOFAluminum:0 "Countess of Aluminum"
 MYSTICAL1_SHIP_DukeOFCopper:0 "Duke of Copper"
 MYSTICAL1_SHIP_DukeOFPewter:0 "Duke of Pewter"
 MYSTICAL1_SHIP_DukeOFIron:0 "Duke of Iron"
 MYSTICAL1_SHIP_DukeOFNickel:0 "Duke of Nickel"
 MYSTICAL1_SHIP_DukeOFTungsten:0 "Duke of Tungsten"
 MYSTICAL1_SHIP_DukeOFZinc:0 "Duke of Zinc"
 MYSTICAL1_SHIP_DukeOFTitanium:0 "Duke of Titanium"
 MYSTICAL1_SHIP_DukeOFCobalt:0 "Duke of Cobalt"
 MYSTICAL1_SHIP_DukeOFSilver:0 "Duke of Silver"
 MYSTICAL1_SHIP_DukeOFPlatinum:0 "Duke of Platinum"
 MYSTICAL1_SHIP_DukeOFGold:0 "Duke of Gold"
 MYSTICAL1_SHIP_DukeOFTin:0 "Duke of Tin"
 MYSTICAL1_SHIP_DukeOFLead:0 "Duke of Lead"
 MYSTICAL1_SHIP_DukeOFAluminum:0 "Duke of Aluminum"
 MYSTICAL1_SHIP_DuchessOFCopper:0 "Duchess of Copper"
 MYSTICAL1_SHIP_DuchessOFPewter:0 "Duchess of Pewter"
 MYSTICAL1_SHIP_DuchessOFIron:0 "Duchess of Iron"
 MYSTICAL1_SHIP_DuchessOFNickel:0 "Duchess of Nickel"
 MYSTICAL1_SHIP_DuchessOFTungsten:0 "Duchess of Tungsten"
 MYSTICAL1_SHIP_DuchessOFZinc:0 "Duchess of Zinc"
 MYSTICAL1_SHIP_DuchessOFTitanium:0 "Duchess of Titanium"
 MYSTICAL1_SHIP_DuchessOFCobalt:0 "Duchess of Cobalt"
 MYSTICAL1_SHIP_DuchessOFSilver:0 "Duchess of Silver"
 MYSTICAL1_SHIP_DuchessOFPlatinum:0 "Duchess of Platinum"
 MYSTICAL1_SHIP_DuchessOFGold:0 "Duchess of Gold"
 MYSTICAL1_SHIP_DuchessOFTin:0 "Duchess of Tin"
 MYSTICAL1_SHIP_DuchessOFLead:0 "Duchess of Lead"
 MYSTICAL1_SHIP_DuchessOFAluminum:0 "Duchess of Aluminum"
 MYSTICAL1_SHIP_KingOFCopper:0 "King of Copper"
 MYSTICAL1_SHIP_KingOFPewter:0 "King of Pewter"
 MYSTICAL1_SHIP_KingOFIron:0 "King of Iron"
 MYSTICAL1_SHIP_KingOFNickel:0 "King of Nickel"
 MYSTICAL1_SHIP_KingOFTungsten:0 "King of Tungsten"
 MYSTICAL1_SHIP_KingOFZinc:0 "King of Zinc"
 MYSTICAL1_SHIP_KingOFTitanium:0 "King of Titanium"
 MYSTICAL1_SHIP_KingOFCobalt:0 "King of Cobalt"
 MYSTICAL1_SHIP_KingOFSilver:0 "King of Silver"
 MYSTICAL1_SHIP_KingOFPlatinum:0 "King of Platinum"
 MYSTICAL1_SHIP_KingOFGold:0 "King of Gold"
 MYSTICAL1_SHIP_KingOFTin:0 "King of Tin"
 MYSTICAL1_SHIP_KingOFLead:0 "King of Lead"
 MYSTICAL1_SHIP_KingOFAluminum:0 "King of Aluminum"
 MYSTICAL1_SHIP_QueenOFCopper:0 "Queen of Copper"
 MYSTICAL1_SHIP_QueenOFPewter:0 "Queen of Pewter"
 MYSTICAL1_SHIP_QueenOFIron:0 "Queen of Iron"
 MYSTICAL1_SHIP_QueenOFNickel:0 "Queen of Nickel"
 MYSTICAL1_SHIP_QueenOFTungsten:0 "Queen of Tungsten"
 MYSTICAL1_SHIP_QueenOFZinc:0 "Queen of Zinc"
 MYSTICAL1_SHIP_QueenOFTitanium:0 "Queen of Titanium"
 MYSTICAL1_SHIP_QueenOFCobalt:0 "Queen of Cobalt"
 MYSTICAL1_SHIP_QueenOFSilver:0 "Queen of Silver"
 MYSTICAL1_SHIP_QueenOFPlatinum:0 "Queen of Platinum"
 MYSTICAL1_SHIP_QueenOFGold:0 "Queen of Gold"
 MYSTICAL1_SHIP_QueenOFTin:0 "Queen of Tin"
 MYSTICAL1_SHIP_QueenOFLead:0 "Queen of Lead"
 MYSTICAL1_SHIP_QueenOFAluminum:0 "Queen of Aluminum"
 MYSTICAL1_SHIP_PrinceOFCopper:0 "Prince of Copper"
 MYSTICAL1_SHIP_PrinceOFPewter:0 "Prince of Pewter"
 MYSTICAL1_SHIP_PrinceOFIron:0 "Prince of Iron"
 MYSTICAL1_SHIP_PrinceOFNickel:0 "Prince of Nickel"
 MYSTICAL1_SHIP_PrinceOFTungsten:0 "Prince of Tungsten"
 MYSTICAL1_SHIP_PrinceOFZinc:0 "Prince of Zinc"
 MYSTICAL1_SHIP_PrinceOFTitanium:0 "Prince of Titanium"
 MYSTICAL1_SHIP_PrinceOFCobalt:0 "Prince of Cobalt"
 MYSTICAL1_SHIP_PrinceOFSilver:0 "Prince of Silver"
 MYSTICAL1_SHIP_PrinceOFPlatinum:0 "Prince of Platinum"
 MYSTICAL1_SHIP_PrinceOFGold:0 "Prince of Gold"
 MYSTICAL1_SHIP_PrinceOFTin:0 "Prince of Tin"
 MYSTICAL1_SHIP_PrinceOFLead:0 "Prince of Lead"
 MYSTICAL1_SHIP_PrinceOFAluminum:0 "Prince of Aluminum"
 MYSTICAL1_SHIP_PrincessOFCopper:0 "Princess of Copper"
 MYSTICAL1_SHIP_PrincessOFPewter:0 "Princess of Pewter"
 MYSTICAL1_SHIP_PrincessOFIron:0 "Princess of Iron"
 MYSTICAL1_SHIP_PrincessOFNickel:0 "Princess of Nickel"
 MYSTICAL1_SHIP_PrincessOFTungsten:0 "Princess of Tungsten"
 MYSTICAL1_SHIP_PrincessOFZinc:0 "Princess of Zinc"
 MYSTICAL1_SHIP_PrincessOFTitanium:0 "Princess of Titanium"
 MYSTICAL1_SHIP_PrincessOFCobalt:0 "Princess of Cobalt"
 MYSTICAL1_SHIP_PrincessOFSilver:0 "Princess of Silver"
 MYSTICAL1_SHIP_PrincessOFPlatinum:0 "Princess of Platinum"
 MYSTICAL1_SHIP_PrincessOFGold:0 "Princess of Gold"
 MYSTICAL1_SHIP_PrincessOFTin:0 "Princess of Tin"
 MYSTICAL1_SHIP_PrincessOFLead:0 "Princess of Lead"
 MYSTICAL1_SHIP_PrincessOFAluminum:0 "Princess of Aluminum"
 MYSTICAL1_SHIP_EmperorOFCopper:0 "Emperor of Copper"
 MYSTICAL1_SHIP_EmperorOFPewter:0 "Emperor of Pewter"
 MYSTICAL1_SHIP_EmperorOFIron:0 "Emperor of Iron"
 MYSTICAL1_SHIP_EmperorOFNickel:0 "Emperor of Nickel"
 MYSTICAL1_SHIP_EmperorOFTungsten:0 "Emperor of Tungsten"
 MYSTICAL1_SHIP_EmperorOFZinc:0 "Emperor of Zinc"
 MYSTICAL1_SHIP_EmperorOFTitanium:0 "Emperor of Titanium"
 MYSTICAL1_SHIP_EmperorOFCobalt:0 "Emperor of Cobalt"
 MYSTICAL1_SHIP_EmperorOFSilver:0 "Emperor of Silver"
 MYSTICAL1_SHIP_EmperorOFPlatinum:0 "Emperor of Platinum"
 MYSTICAL1_SHIP_EmperorOFGold:0 "Emperor of Gold"
 MYSTICAL1_SHIP_EmperorOFTin:0 "Emperor of Tin"
 MYSTICAL1_SHIP_EmperorOFLead:0 "Emperor of Lead"
 MYSTICAL1_SHIP_EmperorOFAluminum:0 "Emperor of Aluminum"
 MYSTICAL1_SHIP_EmpressOFCopper:0 "Empress of Copper"
 MYSTICAL1_SHIP_EmpressOFPewter:0 "Empress of Pewter"
 MYSTICAL1_SHIP_EmpressOFIron:0 "Empress of Iron"
 MYSTICAL1_SHIP_EmpressOFNickel:0 "Empress of Nickel"
 MYSTICAL1_SHIP_EmpressOFTungsten:0 "Empress of Tungsten"
 MYSTICAL1_SHIP_EmpressOFZinc:0 "Empress of Zinc"
 MYSTICAL1_SHIP_EmpressOFTitanium:0 "Empress of Titanium"
 MYSTICAL1_SHIP_EmpressOFCobalt:0 "Empress of Cobalt"
 MYSTICAL1_SHIP_EmpressOFSilver:0 "Empress of Silver"
 MYSTICAL1_SHIP_EmpressOFPlatinum:0 "Empress of Platinum"
 MYSTICAL1_SHIP_EmpressOFGold:0 "Empress of Gold"
 MYSTICAL1_SHIP_EmpressOFTin:0 "Empress of Tin"
 MYSTICAL1_SHIP_EmpressOFLead:0 "Empress of Lead"
 MYSTICAL1_SHIP_EmpressOFAluminum:0 "Empress of Aluminum"
 MYSTICAL1_SHIP_SireOFCopper:0 "Sire of Copper"
 MYSTICAL1_SHIP_SireOFPewter:0 "Sire of Pewter"
 MYSTICAL1_SHIP_SireOFIron:0 "Sire of Iron"
 MYSTICAL1_SHIP_SireOFNickel:0 "Sire of Nickel"
 MYSTICAL1_SHIP_SireOFTungsten:0 "Sire of Tungsten"
 MYSTICAL1_SHIP_SireOFZinc:0 "Sire of Zinc"
 MYSTICAL1_SHIP_SireOFTitanium:0 "Sire of Titanium"
 MYSTICAL1_SHIP_SireOFCobalt:0 "Sire of Cobalt"
 MYSTICAL1_SHIP_SireOFSilver:0 "Sire of Silver"
 MYSTICAL1_SHIP_SireOFPlatinum:0 "Sire of Platinum"
 MYSTICAL1_SHIP_SireOFGold:0 "Sire of Gold"
 MYSTICAL1_SHIP_SireOFTin:0 "Sire of Tin"
 MYSTICAL1_SHIP_SireOFLead:0 "Sire of Lead"
 MYSTICAL1_SHIP_SireOFAluminum:0 "Sire of Aluminum"
 MYSTICAL1_SHIP_MadameOFCopper:0 "Madame of Copper"
 MYSTICAL1_SHIP_MadameOFPewter:0 "Madame of Pewter"
 MYSTICAL1_SHIP_MadameOFIron:0 "Madame of Iron"
 MYSTICAL1_SHIP_MadameOFNickel:0 "Madame of Nickel"
 MYSTICAL1_SHIP_MadameOFTungsten:0 "Madame of Tungsten"
 MYSTICAL1_SHIP_MadameOFZinc:0 "Madame of Zinc"
 MYSTICAL1_SHIP_MadameOFTitanium:0 "Madame of Titanium"
 MYSTICAL1_SHIP_MadameOFCobalt:0 "Madame of Cobalt"
 MYSTICAL1_SHIP_MadameOFSilver:0 "Madame of Silver"
 MYSTICAL1_SHIP_MadameOFPlatinum:0 "Madame of Platinum"
 MYSTICAL1_SHIP_MadameOFGold:0 "Madame of Gold"
 MYSTICAL1_SHIP_MadameOFTin:0 "Madame of Tin"
 MYSTICAL1_SHIP_MadameOFLead:0 "Madame of Lead"
 MYSTICAL1_SHIP_MadameOFAluminum:0 "Madame of Aluminum"
 MYSTICAL1_SHIP_LairdOFCopper:0 "Laird of Copper"
 MYSTICAL1_SHIP_LairdOFPewter:0 "Laird of Pewter"
 MYSTICAL1_SHIP_LairdOFIron:0 "Laird of Iron"
 MYSTICAL1_SHIP_LairdOFNickel:0 "Laird of Nickel"
 MYSTICAL1_SHIP_LairdOFTungsten:0 "Laird of Tungsten"
 MYSTICAL1_SHIP_LairdOFZinc:0 "Laird of Zinc"
 MYSTICAL1_SHIP_LairdOFTitanium:0 "Laird of Titanium"
 MYSTICAL1_SHIP_LairdOFCobalt:0 "Laird of Cobalt"
 MYSTICAL1_SHIP_LairdOFSilver:0 "Laird of Silver"
 MYSTICAL1_SHIP_LairdOFPlatinum:0 "Laird of Platinum"
 MYSTICAL1_SHIP_LairdOFGold:0 "Laird of Gold"
 MYSTICAL1_SHIP_LairdOFTin:0 "Laird of Tin"
 MYSTICAL1_SHIP_LairdOFLead:0 "Laird of Lead"
 MYSTICAL1_SHIP_LairdOFAluminum:0 "Laird of Aluminum"
 MYSTICAL1_SHIP_SirOFCopper:0 "Sir of Copper"
 MYSTICAL1_SHIP_SirOFPewter:0 "Sir of Pewter"
 MYSTICAL1_SHIP_SirOFIron:0 "Sir of Iron"
 MYSTICAL1_SHIP_SirOFNickel:0 "Sir of Nickel"
 MYSTICAL1_SHIP_SirOFTungsten:0 "Sir of Tungsten"
 MYSTICAL1_SHIP_SirOFZinc:0 "Sir of Zinc"
 MYSTICAL1_SHIP_SirOFTitanium:0 "Sir of Titanium"
 MYSTICAL1_SHIP_SirOFCobalt:0 "Sir of Cobalt"
 MYSTICAL1_SHIP_SirOFSilver:0 "Sir of Silver"
 MYSTICAL1_SHIP_SirOFPlatinum:0 "Sir of Platinum"
 MYSTICAL1_SHIP_SirOFGold:0 "Sir of Gold"
 MYSTICAL1_SHIP_SirOFTin:0 "Sir of Tin"
 MYSTICAL1_SHIP_SirOFLead:0 "Sir of Lead"
 MYSTICAL1_SHIP_SirOFAluminum:0 "Sir of Aluminum"
 MYSTICAL1_SHIP_MadamOFCopper:0 "Madam of Copper"
 MYSTICAL1_SHIP_MadamOFPewter:0 "Madam of Pewter"
 MYSTICAL1_SHIP_MadamOFIron:0 "Madam of Iron"
 MYSTICAL1_SHIP_MadamOFNickel:0 "Madam of Nickel"
 MYSTICAL1_SHIP_MadamOFTungsten:0 "Madam of Tungsten"
 MYSTICAL1_SHIP_MadamOFZinc:0 "Madam of Zinc"
 MYSTICAL1_SHIP_MadamOFTitanium:0 "Madam of Titanium"
 MYSTICAL1_SHIP_MadamOFCobalt:0 "Madam of Cobalt"
 MYSTICAL1_SHIP_MadamOFSilver:0 "Madam of Silver"
 MYSTICAL1_SHIP_MadamOFPlatinum:0 "Madam of Platinum"
 MYSTICAL1_SHIP_MadamOFGold:0 "Madam of Gold"
 MYSTICAL1_SHIP_MadamOFTin:0 "Madam of Tin"
 MYSTICAL1_SHIP_MadamOFLead:0 "Madam of Lead"
 MYSTICAL1_SHIP_MadamOFAluminum:0 "Madam of Aluminum"
 MYSTICAL1_SHIP_ThaneOFCopper:0 "Thane of Copper"
 MYSTICAL1_SHIP_ThaneOFPewter:0 "Thane of Pewter"
 MYSTICAL1_SHIP_ThaneOFIron:0 "Thane of Iron"
 MYSTICAL1_SHIP_ThaneOFNickel:0 "Thane of Nickel"
 MYSTICAL1_SHIP_ThaneOFTungsten:0 "Thane of Tungsten"
 MYSTICAL1_SHIP_ThaneOFZinc:0 "Thane of Zinc"
 MYSTICAL1_SHIP_ThaneOFTitanium:0 "Thane of Titanium"
 MYSTICAL1_SHIP_ThaneOFCobalt:0 "Thane of Cobalt"
 MYSTICAL1_SHIP_ThaneOFSilver:0 "Thane of Silver"
 MYSTICAL1_SHIP_ThaneOFPlatinum:0 "Thane of Platinum"
 MYSTICAL1_SHIP_ThaneOFGold:0 "Thane of Gold"
 MYSTICAL1_SHIP_ThaneOFTin:0 "Thane of Tin"
 MYSTICAL1_SHIP_ThaneOFLead:0 "Thane of Lead"
 MYSTICAL1_SHIP_ThaneOFAluminum:0 "Thane of Aluminum"
 MYSTICAL1_SHIP_MarquessOFCopper:0 "Marquess of Copper"
 MYSTICAL1_SHIP_MarquessOFPewter:0 "Marquess of Pewter"
 MYSTICAL1_SHIP_MarquessOFIron:0 "Marquess of Iron"
 MYSTICAL1_SHIP_MarquessOFNickel:0 "Marquess of Nickel"
 MYSTICAL1_SHIP_MarquessOFTungsten:0 "Marquess of Tungsten"
 MYSTICAL1_SHIP_MarquessOFZinc:0 "Marquess of Zinc"
 MYSTICAL1_SHIP_MarquessOFTitanium:0 "Marquess of Titanium"
 MYSTICAL1_SHIP_MarquessOFCobalt:0 "Marquess of Cobalt"
 MYSTICAL1_SHIP_MarquessOFSilver:0 "Marquess of Silver"
 MYSTICAL1_SHIP_MarquessOFPlatinum:0 "Marquess of Platinum"
 MYSTICAL1_SHIP_MarquessOFGold:0 "Marquess of Gold"
 MYSTICAL1_SHIP_MarquessOFTin:0 "Marquess of Tin"
 MYSTICAL1_SHIP_MarquessOFLead:0 "Marquess of Lead"
 MYSTICAL1_SHIP_MarquessOFAluminum:0 "Marquess of Aluminum"
 MYSTICAL1_SHIP_MarchionessOFCopper:0 "Marchioness of Copper"
 MYSTICAL1_SHIP_MarchionessOFPewter:0 "Marchioness of Pewter"
 MYSTICAL1_SHIP_MarchionessOFIron:0 "Marchioness of Iron"
 MYSTICAL1_SHIP_MarchionessOFNickel:0 "Marchioness of Nickel"
 MYSTICAL1_SHIP_MarchionessOFTungsten:0 "Marchioness of Tungsten"
 MYSTICAL1_SHIP_MarchionessOFZinc:0 "Marchioness of Zinc"
 MYSTICAL1_SHIP_MarchionessOFTitanium:0 "Marchioness of Titanium"
 MYSTICAL1_SHIP_MarchionessOFCobalt:0 "Marchioness of Cobalt"
 MYSTICAL1_SHIP_MarchionessOFSilver:0 "Marchioness of Silver"
 MYSTICAL1_SHIP_MarchionessOFPlatinum:0 "Marchioness of Platinum"
 MYSTICAL1_SHIP_MarchionessOFGold:0 "Marchioness of Gold"
 MYSTICAL1_SHIP_MarchionessOFTin:0 "Marchioness of Tin"
 MYSTICAL1_SHIP_MarchionessOFLead:0 "Marchioness of Lead"
 MYSTICAL1_SHIP_MarchionessOFAluminum:0 "Marchioness of Aluminum"
 MYSTICAL1_SHIP_MarcherLordOFCopper:0 "Marcher Lord of Copper"
 MYSTICAL1_SHIP_MarcherLordOFPewter:0 "Marcher Lord of Pewter"
 MYSTICAL1_SHIP_MarcherLordOFIron:0 "Marcher Lord of Iron"
 MYSTICAL1_SHIP_MarcherLordOFNickel:0 "Marcher Lord of Nickel"
 MYSTICAL1_SHIP_MarcherLordOFTungsten:0 "Marcher Lord of Tungsten"
 MYSTICAL1_SHIP_MarcherLordOFZinc:0 "Marcher Lord of Zinc"
 MYSTICAL1_SHIP_MarcherLordOFTitanium:0 "Marcher Lord of Titanium"
 MYSTICAL1_SHIP_MarcherLordOFCobalt:0 "Marcher Lord of Cobalt"
 MYSTICAL1_SHIP_MarcherLordOFSilver:0 "Marcher Lord of Silver"
 MYSTICAL1_SHIP_MarcherLordOFPlatinum:0 "Marcher Lord of Platinum"
 MYSTICAL1_SHIP_MarcherLordOFGold:0 "Marcher Lord of Gold"
 MYSTICAL1_SHIP_MarcherLordOFTin:0 "Marcher Lord of Tin"
 MYSTICAL1_SHIP_MarcherLordOFLead:0 "Marcher Lord of Lead"
 MYSTICAL1_SHIP_MarcherLordOFAluminum:0 "Marcher Lord of Aluminum"
 MYSTICAL1_SHIP_MarcherLadyOFCopper:0 "Marcher Lady of Copper"
 MYSTICAL1_SHIP_MarcherLadyOFPewter:0 "Marcher Lady of Pewter"
 MYSTICAL1_SHIP_MarcherLadyOFIron:0 "Marcher Lady of Iron"
 MYSTICAL1_SHIP_MarcherLadyOFNickel:0 "Marcher Lady of Nickel"
 MYSTICAL1_SHIP_MarcherLadyOFTungsten:0 "Marcher Lady of Tungsten"
 MYSTICAL1_SHIP_MarcherLadyOFZinc:0 "Marcher Lady of Zinc"
 MYSTICAL1_SHIP_MarcherLadyOFTitanium:0 "Marcher Lady of Titanium"
 MYSTICAL1_SHIP_MarcherLadyOFCobalt:0 "Marcher Lady of Cobalt"
 MYSTICAL1_SHIP_MarcherLadyOFSilver:0 "Marcher Lady of Silver"
 MYSTICAL1_SHIP_MarcherLadyOFPlatinum:0 "Marcher Lady of Platinum"
 MYSTICAL1_SHIP_MarcherLadyOFGold:0 "Marcher Lady of Gold"
 MYSTICAL1_SHIP_MarcherLadyOFTin:0 "Marcher Lady of Tin"
 MYSTICAL1_SHIP_MarcherLadyOFLead:0 "Marcher Lady of Lead"
 MYSTICAL1_SHIP_MarcherLadyOFAluminum:0 "Marcher Lady of Aluminum"
